class_code,title,content,class
1,男子救起被遺棄的奄奄一息的母獅子，後來他們見面了，獅子衝向男子......原來只為給他一個擁抱！！！,"一頭遭到遺棄奄奄一息的母獅子，被一名年輕德國男子ValGruener拯救，之後他教母獅捕獵並與之間建立了強烈友情紐帶。母獅撲到男生身上的「感恩的擁抱」被拍成了6分鐘的紀錄片，在youtube上被1000萬網民點擊觀看。
這個溫暖人心的故事是2014年的熱門話題，一頭母獅撲到男生身上，充滿愛意地熱烈擁抱他。這個「感恩的擁抱」在youtube上被1000萬網民點擊觀看，故事講述的是一頭140公斤的母獅與它的救命恩人的故事。
感覺好溫馨！",動物
1,狗狗從來不會在意你貧窮還是富有，只會陪你到白頭！,狗狗就是這樣，從你牽它進門的那一刻起，不管你貧窮還是富有，即使最終露宿街頭，它也願意陪你到白頭。因為它一直覺得：有你在，它的世界就還在！,動物
1,主人上班快遲到忘了喂貓，牠直接站起來發飆！,"飼主まっぷーちん說有次上班快遲到忘了喂貓
牠直接站起來表示抗議！
你什麼意思，朕的早膳呢？
朕都還沒有用膳，死奴才就想去上班？
信不信，朕撓死你
之後，牠就開始迷上了站立",動物
1,小獅子不捨飼養員要離開，抱住男子不停「吻別」，場面溫馨感人啊！！,"小獅子不捨飼養員要離開，抱住男子不停「吻別」，場面溫馨，讓人動容啊！！
萬物皆有情！",動物
1,這隻狗狗獨自行走300公里就為了見她，背後的故事讓我淚流不止,"這隻狗狗叫做夏薇(Shavi)，她原本是俄羅斯頓河畔羅斯托夫地區的流浪狗，去年冬天她被一輛車撞了，車子立刻逃逸，而她被留在雪地之中等死。
幸好當時有兩位好心人將夏薇送到獸醫院，當時她身受重傷，還有兩條腿斷了，那兩位好心人也上網徵求願意暫時收留並照顧夏薇的人。
唯一回覆的人是一位26歲的當地女性，叫做妮娜 (NinaBaranovskaya)。在夏薇的腳動完手術之後，她就把夏薇接回家，並幫助這隻狗直到她能再度行走。
妮娜每天都陪夏薇玩，也教會夏薇聽一些簡單的指令。因為夏薇在出車禍後有心理創傷，妮娜也必須幫夏薇買尿布，並在出門看到陌生人和車輛時安撫夏薇。
在妮娜細心的照顧下，夏薇逐漸恢復健康。但有個年幼的女兒，也已經養了好幾隻寵物的妮娜無法長期照顧夏薇，因為她的工作情況、空間和家庭環境都不允許。
最後妮娜幫夏薇找到大約300公里遠的新家。妮娜住在沃羅涅日州邊境的朋友願意收養夏薇，但他們收養夏薇不過幾天，就發現她失蹤了。夏薇的新主人打電話給妮娜，告訴她這個消息。
當時妮娜只希望夏薇能趕快回到新主人身邊，卻沒想到她會出現在完全出乎意料的地方。
兩周后，妮娜獨自在公園散步，突然感覺到有東西碰到她的腳。她低頭一看，發現夏薇竟然靠在她的腳邊！妮娜意識到她照顧到康復的狗竟然跑了這麼遠回來找她，當場就哭到不行…
專家估計夏薇走了那麼遠的路，至少要花一周以上的時間。
現在妮娜正在找更大的房子，這樣夏薇才能跟他們住在一起。",動物
1,這隻狗狗被8個月大的小主人搶走了自己的餅乾，儘管老爸百般引導，寶寶還是拒不把餅乾歸還，而狗狗的反應是…好溫柔哦！,"這隻叫Brano的狗狗被8個月大的小主人Ava搶走了自己的餅乾，儘管老爸百般引導，寶寶還是拒不把餅乾歸還，堅持的萌樣真的好可愛。
影片中，寶寶Ava好厲害，公然偷走了狗狗的餅乾，爸爸說：〝把Brano的餅乾還給人家啦，那是牠的東西喔。〞面對爸爸的責問，Ava打算沉默應對，而站立一旁的狗狗卻靜靜地望著寶寶手中的餅乾，並沒有搶回來的意思，就是這樣，寶寶還霸道的推了狗狗一把，見女兒如此不講理，老爸只好改變策略，鼓勵狗狗出手搶回自己的餅乾，寶寶四處躲避，而狗狗實在太溫柔了，根本不想出手爭搶，老爸只好來個聲東擊西，但還是被聰明的寶寶及時識破……看來這是一場持久戰喔，狗狗也只能繼續忍耐下去啦……",動物
1,１１歲黃金犬臉上總是掛著幸福的笑容，背後的原因讓人忍不住嘴角上揚......,"相信，所有家裡有毛小孩的人都會希望牠們可以一直那麽的健康、快樂，還可以一直陪伴在自己的身邊。在臉書上就有位網友寶爸為自己家的黃金獵犬「小寶」開了一個粉絲專頁：小寶fans club，在上面分享小寶的生活點滴，看到這些照片真的會讓人的嘴角忍不住上揚呢！
小寶也很愛撒嬌，喜歡跟在媽媽後面當小跟屁蟲！
天氣冷的時候，媽媽的床和客廳的沙發都是小寶睡覺的好地方，還常常睡到流口水呢！
現在小寶已經 11 歲了，換算成人類的年紀應該也有 6、70 歲了，體重約 40公斤。為了牠，寶爸更買了一個「背帶」以備不時之需。
寶爸說，因為小寶的年紀大了，身體也有不少毛病，現在最希望的就是牠能高高興興的生活下去。平常他也會帶著小寶到附近的慶城公園散步，因為牠是上了年紀的公狗，所以腳不太好，現在也比較少到各景點遊玩了，但如果狀況比較好時，偶爾還是會去河濱公園走走。
我在慶城公園，天氣晴。
天氣涼涼的就是要在沙發上蓋著哥哥的外套睡覺。
哥哥，我們到底可以去散步了沒～
父背子。
粑粑熊抱我！
就是因為寶爸這麽的疼愛小寶，所以總是可以看到小寶臉上一直掛著笑容呢！
希望小寶能繼續健康、快樂的和寶爸一起生活下去！",動物
1,這群幾乎要被狐狸吃到滅絕的小企鵝，竟然找來了最強而有力又溫暖的『守護神』,"在澳大利亞一個叫Middle Island的小島上，棲息著這樣一群小萌物
牠們叫小藍企鵝 （也叫神仙企鵝），是企鵝星人中最小的物種，身高只有40多釐米，有著一身藍色的羽毛
牠們原本在這座小島上開開心心的生活著，直到這座島嶼被赤狐「攻陷」
因為泥沙沉積以及潮汐變化等原因，小島開始出現短暫的與陸地相連的時刻，赤狐就是在那個時候「登陸」島上，開始大肆撲食小藍企鵝
10多年前，島上的小藍企鵝數量曾有800隻，到2005年的時候，整個小島僅剩下4隻，幾近滅亡
就在人們都束手無策時，小島附近一個養雞場場主想到了一個點子讓牧羊犬來守護小藍企鵝吧！
多年來，赤狐也是他最頭疼的動物，自己養的雞之前一直遭到它們的「毒手」
他過去都是用獵槍來驅趕赤狐，後來他養了幾隻Maremma牧羊犬，發現效果相當好，赤狐完全不敢靠近雞群
於是在2006年，他帶著一隻oddball 的牧羊犬去到了Middle Island
從那時起，oddball就駐住在島上，擔起了拯救小藍企鵝家族的大任
oddball和小藍企鵝相處得十分融洽，oddball到來之後，過去十年來再也沒有一隻小藍企鵝死於赤狐的口下
赤狐聽到oddball的叫聲，聞到它的味道，就會自動退散
在oddball多年的守護下，島上小藍企鵝的數量已經增加到200多隻
oddball現在已經退休，目前小島上守護者的是Tula和Eudy，牠們會在企鵝的繁殖季去到島上，開展半年的守護工作
然而兩隻牧羊犬也逐步步入晚年，面臨退休問題，小島迫切需要新的守護者
購買和訓練牧羊犬需要很大的經費，這個牧羊犬守護計畫一直沒有得到當地政府的資助，都是靠各種募捐來籌集支撐維持著
今年9月，oddball拯救小藍企鵝的故事被拍成了一部以他名字命名的電影並在澳洲上映，引發了大量關注
人們紛紛為這個計畫籌款，新的牧羊犬正在接受訓練中
這群世界上最小的企鵝，有著最暖的守護者",動物
1,這隻免子發現臉歪了一邊，然後竟然做了這樣的動作...太神奇了！,"早上起床，照個鏡子卻發現臉歪了，怎麼辦？ 或許你會很緊張，或許你會馬上要去醫院，但是有一隻超淡定兔子，就自己解決了臉歪的問題。
有一位網友在網路上分享了3張自己家兔子的照片，結果卻讓看過的人笑到停不下來。因為這位網友家的兔子就是早上起來發現自己的臉居然歪了，你以為但是接下來的動作就讓萌化了所有人！
這隻兔子一大早起床，發現好像有什麼不對勁：「咦，自己的臉怎麼歪了？ 」
算了，沒關係自己揉一揉就好了。
看吧，果然有效果，我又恢復了原來帥氣的一張臉。
看這隻兔子這麼淡定，真的讓人忍不住讚嘆：天吶，臉都歪了，為何你還如此鎮定自若？話說回來，這只小兔子一臉認真的樣子去扶正自己的臉，然後又獃獃地盯著自己「修復」好的臉的樣子真的好可愛！",動物
1,黑人賣家把穿山甲拿去燒烤！沒想到穿山甲竟蜷曲身子不肯就範！最後把牠狠狠摔在地上！接下來的一幕讓所有在場的人都震驚落淚！！！,"在我的《非洲奇遇記》中曾經提到過，非洲的尼日河流域有一個很大的市場，很特別，整個市場賣的都是野味。有很多野生穿山甲、鱷魚、大號蜥蜴，甚至有賣梅花鹿、斑馬和猴子，這些東西在國內都早已禁售、禁食。
有一次我們為了招待國內來考察的官員，特地驅車一百多公里，帶他們一起去採購野味。
鱷魚欄一般人不敢靠近，只叫我的老司機丹尼爾替我們去選購，我們一行人則直接去挑選穿山甲。
穿山甲被捕獲以後，出於恐懼或是自衛的本能，總是把軀體緊緊蜷縮著，捲成一圈。
一般購買程序是這樣的：買主選定以後，賣方黑人便用力把穿山甲拉直，開膛破肚，取出內臟丟棄，將身軀清理乾淨，再用鐵夾夾著放到火盆里烤灼，直到其身體上的鱗甲全部脫落。
那天貨源頗豐，圍欄里放滿了許多捲成圈的大小不一的穿山甲。那些官員便揀大的挑了幾隻，並聲稱要親眼看著宰殺才放心。
一個黑人小伙提起最肥的一隻，動作嫻熟地準備把它拉直，費了半天力，卻怎麼也無法把那蜷縮的軀體拉開。
這下所有人大奇，那小伙十分難堪，便一下又一下把那穿山甲往地面上摔去，邊摔邊解釋說：「穿山甲遇痛就會將軀體伸張開。」
不曾想連摔幾下，眼見它原本驚恐的小眼睛早已閉合，尖尖的嘴角掛出一縷鮮紅的血絲，身體卻始終未見張開，反而越蜷越緊。
我們不忍卒睹，便搖手示意作罷。
那黑人小伙兀自不甘心，直接拿鐵鉗夾了放到火盆上灼燒。待到鱗甲脫盡，焦味瀰漫，那穿山甲仍然保持原狀。
這下黑人黔驢技窮，對我們無奈地搖搖頭，說這隻穿山甲一定有了什麼毛病，不可食用，隨即順手將其甩落在身後的沙土地上。
接下來，另選的兩隻宰殺工作都十分順利，不到五分鐘便完成了。
我們和黑人正在付錢找錢，卻十分意外地發現：
原先那隻被丟棄在地上的穿山甲竟慢慢地伸直了軀體，把眼睛眯開一條線，接著一陣抽搐，僵硬挺直，徹底沒了氣息。隨著它軀體的伸展，我們震驚地看到：
在它攤平的肚皮上，竟蠕動著一隻粉嫩透明的小穿山甲，只有老鼠大小，身上的躋帶仍與母體相連，小嘴慢慢張合，彷彿在無聲地呼喚著母親。這場景驚得所有人目瞪口呆。剎那間我只覺得熱血翻湧，鬚髮皆張，幾欲落淚。
那隻母穿山甲自身體重不超過十斤，卻用血肉之軀歷經摔打與灼燒，至死護衛著自己的孩子，被烤至半熟，竟還能保得孩子周全。那份精神之力，早已超越了生命的常規。",動物
