class_code,title,content,class
1,喵星人打噴嚏的瞬間？攝影師鏡頭下的街貓日常,雖然貓咪總是一副高高在上的姿態，對誰都愛理不理，但光是那個呆萌樣就讓人心甘情願為它們融化！來自日本的攝影師 Masayuki Oki正是其中一位為貓咪深深著迷的人，致力於捕捉日本街道上這些小動物的身影，而其細緻、精巧的影像總讓人誤以為它們活生生的出現在自己眼前，也在Instagram上也吸引了廣大貓粉追?，相信愛貓的你也會立刻迷上他的作品！不過說到拍攝貓其實沒有想像中容易，畢竟貓咪本身不親人，想要讓它們留露出最自然的一面還得先營造出放鬆的氛圍，將光線與時間抓到位才有辦法將它們的模樣完美呈現，Masayuki不僅具備這些技巧，還能在照片中讓人感受到故事性，無論是逗趣、親密、慵懶還是傻傻的樣子，都讓人腦海中開始幻想起這些貓咪的日常。這個月即將推出攝影集 Busanyan 的他，選定了下面這張照片作為封面，如此自然的萌樣，正是Masayuki影像中最厲害也最讓人著迷的地方，無論是哪裡的街貓，在他的鏡頭下似乎都能很自在的展現自我。貓咪安靜、優雅卻又充滿驚喜的模樣和日本這個國家給人的感覺或多或少有那麼點相似，這些走在街頭上的貓咪們也是日本最迷人的風景之一。當然他的作品中也不乏貓咪一不小心就露出的呆樣。時而親密的畫面也令人著迷。夜晚的小冒險。感覺正在計劃著什麼。懶洋洋的樣子，總覺得這些貓咪雖然生活在野外但都能吃飽飽。好像準備上演宮崎駿的動畫了。,寵物
1,山豬模仿台灣 No.1 老外　本尊看到笑開懷！,"以激怒中國網友為樂的美國 H1Z1 實況玩家 Angrypug，讓中國玩家的玻璃心碎一地，讓嚴肅的議題多了幾分趣味，獲得廣大台灣網友支持。火紅的程度也被台灣搞笑藝人山豬所模仿、Angrypig 這個角色大喊""台灣 No.1""、手持大國旗相當維妙維肖，讓網友一致大讚，而這段影片也被 Angrypug 本尊所看到，分享給其他玩家一起收看，自己也是笑的人仰馬翻，只能說太有才了。▼手拿國旗的畫面讓 Angrypug 也笑翻。(影片來源 PlayTV )▼當然罵人得用可愛的草泥馬來代替。▼羊駝是無辜的阿...▼Angrypug 本尊看到也笑翻天了。▼山豬的原版影片。超有趣的影片上傳後，就連 Angrypug 本尊看到都笑開懷，山豬誇張的大鬍子搭配手勢，以及大喊 TAIWAN NO.1 的神情，彷彿又讓大家看到經典的畫面再度出現，另類的台灣之光再度被發揚光大。",寵物
1,超可愛的貓咪家電扭蛋，零錢是不是該準備好來收集一整套了！,近來扭蛋公仔也走療癒風，讓許多的女性也開始收集扭蛋，而日本的Epoch株式會社，則鎖定喜愛貓咪的女性推出了一款超可愛的迷你「貓貓廚房家電」系列扭蛋，以清爽的藍白配色結合了貓咪的造型在每個電器與料理之中，真是令人想把口袋裡的零錢都掏出來收集一整套呀！將貓耳和貓掌融入設計的微波爐，還附上了加熱到冒出貓咪形狀泡泡的年糕！有著貓耳的章魚燒機，工具也是非常齊全，還是該叫它貓咪燒機呢？ 飯糰模具同樣是使用超可愛的貓咪造型，光是那個貓咪飯糰就令人想要收藏！這套則是貓咪廚具組，具備了菜刀、砧板、量杯、勺子，以及收納架等一整套料理器具。附上一支飯勺的貓咪電鍋有著可愛的貓耳提把，蓋子也可以打開與關閉。在貓貓家電之前Epoch株式會社也曾推出過貓貓廚房1與貓貓廚房2的系列扭蛋，受到熱烈的歡迎，在各處都採用貓耳和肉球的設計，加上精確縮小版的器具，正是這一系列具有魅力的小物可愛之處呀！ ,寵物
1,流口水！對主人廚藝感到深深佩服的兩隻喵星人,你家的貓咪會不會每到你的用餐時間，就衝上餐桌呢？instagram 上的日本網友 Naomiuno 就有兩隻白色貓咪，每次一到主人們的用餐時間，似乎就會聞香而咚咚的狂奔到餐桌前，看到主人料理燒的一桌好菜，真是讓人食指大動，而貓咪像是在狂吞口水可愛的表情也都被主人紀錄了下來。▼美味的咖哩，小香腸還立在飯上面，太犯規▼貓咪瞇著眼睛：好想吃.........▼早餐也那麼豐盛精緻▼看起來美味到貓咪都在舔舌頭。下一頁還有更多超萌貓咪！！！▼再度瞇眼▼甜點時間也會來湊熱鬧▼貓咪搶先聞了聞海鮮▼睜大眼睛：要給我吃嗎？看完你是不是也眼花撩亂，更不知道是該將注意力放在超萌的貓咪們，還是看起來超好吃的菜色上，請各位就立志向上，學會燒出這一桌好菜，再養一對可愛的貓咪，每天一定都會過得很幸福！,寵物
2,舉台灣國旗遭中國網友砲轟：叛徒　子瑜一句話讓台灣粉絲歡呼,韓國女團 TWICE 是韓國 JYP 娛樂打造的全新 9 人女子團體，團員是由韓國、日本、台灣多國籍成員組成。其中來自台灣的子瑜最近在韓國綜藝節目《 MY Little TV 》中，因為其中一幕而引起中國網友砲轟，且子瑜也在《一周偶像》說出一句讓中國網友更加憤怒，但台灣人卻更加愛她的一句話...▼子瑜在 2012 年因為在美思表演藝術中心的成果展影片中，被 JYP 娛樂星探看中，同年 11 月赴韓當練習生▼長相清秀、甜美且高人氣的子瑜在 TWICE 中擔任重要門面和帶頭練舞，甚至被人稱作「完美無瑕的最強比例▼子瑜也在知名的 TC Candler 全球最美以及全球最帥的 100 人票選活動榜上有名，才出道不到一個月就獲得提名殊榮▼子瑜也在韓國職棒例行賽擔任開球儀式的打者，這一揮迷倒眾多韓國粉絲▼子瑜因為在綜藝節目上出現一幕只拿「中華民國」、「南韓」的國旗卻沒拿中國國旗，而引起中國網友砲轟「不愛國」▼但不少南韓網友對於中國網友的回應感到可笑，紛紛回擊「他是台灣人，當然要拿台灣國旗阿」、「照這樣說，如果韓國歌手上美國節目拿了太極旗（韓國國旗），北韓看到也要來鬧嗎？真是無言的狀況阿」▼雖然她的行為遭到許多中國網友反感、砲轟，但子瑜仍然非常做自己。上南韓節目時依然大方且相當有自信地說「我來自台灣」▼子瑜相當有自信地說出「我來自台灣」相信不少人看到子瑜這樣的表現，會讓更多人喜歡她的舉動。儘管被中國網友砲轟、批判，但支持她的人會更加支持。從子瑜這一個舉動就能引起三個國家的網友熱烈討論，可見在亞洲也已經有一定的影響力，為我們的台灣之光子瑜加油吧！,影視名人
2,13 歲罹癌小女孩一覺起來　居然發現泰勒絲就在眼前！,美國一名小女孩 Delaney Clements 雖然年幼，但她已經與癌症對抗了長達 5 年的時間，她在 7 歲時被確診患神經母細胞瘤，在這些受到病魔折磨的日子，Delaney Clements 的精神支柱就是美國歌壇天后泰勒絲（Taylor Swift），去年她曾經拍攝影片表達對偶像泰勒絲的喜愛，並跳起了「Shake it Off」展現樂觀的一面，感動不少人。▼Delaney Clements 去年上傳自己與朋友跳「Shake it Off」的影片，表達自己有多麼熱切的希望見到偶像泰勒絲。▼令人難過的是今年 13 歲的 Delaney Clements 已經被確診為癌症末期，未來將進到醫院療養，得知這個消息的泰勒絲在結束演出之後，立刻趕來科羅拉多州與這名死忠粉絲見面，讓 Delaney Clements 終於美夢成真。▼Delaney Clements 描述這段令她永生難忘的經歷：「我躺在床上睡了一個短暫的覺，然後媽媽進來告訴我說有一個訪客，我想可能又是哪一個朋友來看我了，沒想到突然之間奇蹟發生了，泰勒絲就這樣走進了我的房間！」▼「她一整個下午都陪著我，跟我聊天和晃蕩，這是我得到的超越了一切的祝福和支持！！！謝謝妳！！！」▼泰勒絲摟著小女孩的肩膀一起玩自拍。泰勒絲還一起為小女孩畫上了口紅，兩人就一起美美的合照，相信這對 Delaney Clements 來說不只是最棒的聖誕節禮物，更是人生到現在所發生過最讓她興奮的事，就讓我們為這位天真樂觀的小女孩祈禱，盼望她的病情也有同樣的奇蹟發生。,影視名人
2,劉在錫為《Running Man》開通 Instagram　一天之內粉絲衝破 13 萬！,劉在錫 Instagram 出現的第一張照片就是這張！南韓的國民 MC 劉在錫一直都沒有在使用社群網站帳號，但他今天 (12/21) 突然開通 Instagram 帳號，上傳了上面這一張自拍照片並寫下：「大家好，只限定這一天使用《Running Man》SNS，請大家幫幫忙，覺得用 SNS 好難喔。」引發許多網友好奇，難不成這是《Running Man》新一集的內容之一？▼劉在錫接著在 Instagram 分享了下面這張有各式各樣美食的照片，請網友們幫忙選擇▼之後更分享了與金鐘國的可愛合照▼《Running Man》全員劉在錫創立這個臨時帳號，在一天之內就已經迅速突破到 13.8 萬粉絲，許多網友透過劉在錫上傳的照片紛紛詢問：「是因為錄節目所以玩的嗎？」、「這一集的《Running Man》讓人好好奇」，不過最讓大家在乎的是希望劉在錫就此開始使用 Instagram ，別把它當作期間限定啊！想要追蹤劉在錫的 Instagram 請點選這裡。,影視名人
2,挪威 DJ Kygo　打破 Spotify 最快 10 億次收聽紀錄！,"1991 年出生於挪威的卑爾根、本名 KyrreG?rvell-Dahll 的 DJ Kygo，以獨特的熱帶浩室 Tropical House 曲風引領全球潮流，他本身也是一位知名的鋼琴家和唱片製作人，當他決定加盟音樂串流 Spotify 後，他只靠了歌曲 Stay ( 1.5 億收聽次數 ) 、Firestone (3 億收聽次數)、Stole The Show (3 億收聽次數) 以及其他歌曲，馬上就打破了最短時間內達成 10 億次收聽的紀錄，成為全新紀錄保持人。▼ Coldplay 的歌曲 Midnight、 Ed Sheeran 的 I See Fire 都是來自他的製作。▼綽號""森之 DJ""，曲風獨特。▼鋼琴也是他的專長之一，真是多才多藝。▼接下來就來聽聽他得三首破億點閱率歌曲吧。面對在 Spotify 上的驚人紀錄，KYGO 也發表了感言。「感謝每一位在 Spotify 收聽我作品的聽眾，讓我在這麼短時間內就創出驚人成績，很期待明年初與大家分享專輯的時刻。」",影視名人
2,井上雄彥時隔多年　終於重新畫出灌籃高手人物！,"相信大家對於每年都在傳，經典漫畫灌籃高手 Slam Dunk 系列漫畫要重啟的傳聞都不陌生，井上雄彥老師的經典作品可以說是紅遍日本、香港、大陸以及台灣等亞洲地區，就連 Air Jordan 6 代也可以與灌籃高手的聯名。而如今終於等到井上雄彥老師重新畫出灌籃高手人物，但是是為了""灌籃高手獎學金""第 10 屆的召募海報所創作。只見櫻木花道、流川楓以及澤北再度出現，讓很多人相當感動。井上雄彥老師也在 twitter 上留言，""好久沒畫了！""▼井上雄彥老師的浪人劍客也擁有相當多讀者。▼REAL，以殘障輪椅籃球為故事，他真的很喜歡籃球阿。▼再度重拾畫筆畫下灌籃高手，讓很多人都非常感動。井上雄彥老師重新畫出灌籃高手人物，為了灌籃高手獎學金獎金學所打造，讓他自己都留下了""好久沒畫了""的留言，耐人尋味，到底會不會替灌籃高手畫下續集呢，這真的事一個無解的謎阿。",影視名人
2,《吳記麻辣油》是 BIGBANG 的哪一首歌？！　中文音翻歌詞爆紅,"韓國天團 BIGBANG 引領全球潮流，每回發表的新曲，都在社群網站以及 Youtube 上，擁有超高的點閱率，而這股旋風還讓許多人進行 KUSO，造成不小的迴響，包括網路插畫家鬧一波大師，也用 BIGBANG 的歌詞為靈感，製作了相當有趣的短片《吳記麻辣油》，讓人哭笑不得，比對中文音譯的吳記麻辣油歌詞與歌曲，的確還有幾分神似，讓人哭笑不得，累積相當多的觀賞人次。▼先來看看鬧一波大師的這段有趣短片。▼原來講的就是這首歌、BIGBANG 的 ?? ???? ???(LET'S NOT FALL IN LOVE)。▼趕快來複習一下原曲。(腦中已經都是中文歌詞了)。超豐富的想像力，相信如果連 BIGBANG 聽到，都一定會哭笑不得吧，把""吳記麻辣油""、""十碗滷肉""等等台灣在地用字加入這麼潮的 BIGBANG 歌曲當中，實在讓人噴飯，只能說如此的神翻譯實在太有才。",影視名人
