term,class,prob
要,1,0.0023284177846767933200978
要,3,0.0029396942717957331298040
要,2,0.0023099196408237630991078
要,5,0.0031950126631599454728183
生肖,1,0.0001108770373655615886074
生肖,3,0.0002999688032444626007746
生肖,2,0.0000325340794482220123309
生肖,5,0.0000389635690629261616583
乾淨,1,0.0002217540747311231772148
乾淨,3,0.0003359650596337980890151
乾淨,2,0.0000650681588964440246617
乾淨,5,0.0001558542762517046466331
歌曲,1,0.0001108770373655615886074
歌曲,3,0.0000119987521297785034211
歌曲,2,0.0003904089533786641750754
歌曲,5,0.0000389635690629261616583
去除,1,0.0001108770373655615886074
去除,3,0.0002879700511146840685543
去除,2,0.0000325340794482220123309
去除,5,0.0000389635690629261616583
於是,1,0.0009978933362900543110191
於是,3,0.0001559837776871205393923
於是,2,0.0002928067150339981042015
於是,5,0.0007013442431326709098488
曝光,1,0.0001108770373655615886074
曝光,3,0.0000359962563893355085693
曝光,2,0.0003904089533786641750754
曝光,5,0.0000389635690629261616583
日前,1,0.0001108770373655615886074
日前,3,0.0000119987521297785034211
日前,2,0.0002928067150339981042015
日前,5,0.0000389635690629261616583
錢,1,0.0001108770373655615886074
錢,3,0.0002879700511146840685543
錢,2,0.0005530793506197742570585
錢,5,0.0018312877459575297063588
執導,1,0.0001108770373655615886074
執導,3,0.0000119987521297785034211
執導,2,0.0002928067150339981042015
執導,5,0.0000389635690629261616583
一種,1,0.0001108770373655615886074
一種,3,0.0011398814523289578504173
一種,2,0.0002602726355857760986469
一種,5,0.0002337814143775569970547
表演,1,0.0001108770373655615886074
表演,3,0.0000359962563893355085693
表演,2,0.0006832156684126622792769
表演,5,0.0000389635690629261616583
成分,1,0.0001108770373655615886074
成分,3,0.0001319862734275635291620
成分,2,0.0000325340794482220123309
成分,5,0.0000389635690629261616583
7,1,0.0001108770373655615886074
7,3,0.0009718989225120587245946
7,2,0.0003578748739304421153107
7,5,0.0001558542762517046466331
看起來,1,0.0004435081494622463544296
看起來,3,0.0004439538288018046079467
看起來,2,0.0002277385561375540930923
看起來,5,0.0000779271381258523233165
娃娃,1,0.0001108770373655615886074
娃娃,3,0.0000839912649084495222538
娃娃,2,0.0000325340794482220123309
娃娃,5,0.0000389635690629261616583
正常,1,0.0001108770373655615886074
