Hit Rate of 1: 17 \ 23 = 0.739130
Hit Rate of 3: 40 \ 67 = 0.597015
Hit Rate of 2: 36 \ 42 = 0.857143
Hit Rate of 5: 22 \ 24 = 0.916667
Hit Rate of 4: 8 \ 111 = 0.072072
doc_id	class_id
1_002	2
1_004	1
1_006	1
1_008	1
1_010	1
1_012	1
1_014	1
1_016	1
1_018	1
1_020	5
1_022	1
1_024	1
1_026	5
1_028	1
1_030	1
1_032	5
1_034	1
1_036	5
1_038	1
1_040	5
1_042	1
1_044	1
1_046	1
2_002	2
2_004	2
2_006	2
2_008	2
2_010	2
2_012	2
2_014	2
2_016	2
2_018	2
2_020	2
2_022	3
2_024	2
2_026	2
2_028	2
2_030	2
2_032	2
2_034	3
2_036	2
2_038	2
2_040	2
2_042	2
2_044	2
2_046	2
2_048	2
2_050	5
2_052	2
2_054	3
2_056	2
2_058	2
2_060	2
2_062	2
2_064	2
2_066	2
2_068	2
2_070	5
2_072	2
2_074	2
2_076	3
2_078	2
2_080	2
2_082	2
2_084	2
3_002	2
3_004	3
3_006	3
3_008	2
3_010	3
3_012	5
3_014	3
3_016	3
3_018	3
3_020	3
3_022	3
3_024	2
3_026	3
3_028	3
3_030	3
3_032	2
3_034	1
3_036	5
3_038	3
3_040	3
3_042	2
3_044	3
3_046	3
3_048	3
3_050	3
3_052	3
3_054	5
3_056	1
3_058	5
3_060	2
3_062	5
3_064	2
3_066	5
3_068	3
3_070	3
3_072	3
3_074	3
3_076	3
3_078	3
3_080	3
3_082	3
3_084	5
3_086	3
3_088	2
3_090	2
3_092	3
3_094	3
3_096	3
3_098	3
3_100	3
3_102	5
3_104	3
3_106	5
3_108	3
3_110	3
3_112	5
3_114	5
3_116	5
3_118	3
3_120	5
3_122	3
3_124	2
3_126	5
3_128	3
3_130	3
3_132	3
3_134	5
4_002	2
4_004	2
4_006	2
4_008	2
4_010	2
4_012	5
4_014	2
4_016	3
4_018	3
4_020	2
4_022	2
4_024	3
4_026	2
4_028	2
4_030	3
4_032	4
4_034	4
4_036	5
4_038	2
4_040	5
4_042	5
4_044	5
4_046	5
4_048	3
4_050	2
4_052	3
4_054	5
4_056	5
4_058	5
4_060	5
4_062	5
4_064	5
4_066	3
4_068	2
4_070	5
4_072	5
4_074	2
4_076	1
4_078	3
4_080	2
4_082	5
4_084	1
4_086	5
4_088	2
4_090	3
4_092	3
4_094	4
4_096	4
4_098	5
4_100	4
4_102	5
4_104	2
4_106	2
4_108	5
4_110	5
4_112	4
4_114	5
4_116	3
4_118	5
4_120	3
4_122	3
4_124	5
4_126	5
4_128	5
4_130	3
4_132	3
4_134	3
4_136	2
4_138	3
4_140	5
4_142	3
4_144	3
4_146	3
4_148	5
4_150	3
4_152	5
4_154	5
4_156	5
4_158	3
4_160	5
4_162	5
4_164	3
4_166	5
4_168	1
4_170	3
4_172	3
4_174	2
4_176	5
4_178	5
4_180	3
4_182	5
4_184	5
4_186	4
4_188	2
4_190	1
4_192	5
4_194	5
4_196	3
4_198	5
4_200	3
4_202	5
4_204	5
4_206	5
4_208	5
4_210	1
4_212	5
4_214	5
4_216	4
4_218	3
4_220	3
4_222	1
5_002	5
5_004	2
5_006	2
5_008	5
5_010	5
5_012	5
5_014	5
5_016	5
5_018	5
5_020	5
5_022	5
5_024	5
5_026	5
5_028	5
5_030	5
5_032	5
5_034	5
5_036	5
5_038	5
5_040	5
5_042	5
5_044	5
5_046	5
5_048	5
